postID,creation_date,like_count,retweet_count
1,2021-12-08,427,29
2,2022-06-02,9,16
3,2023-01-14,238,51
4,2023-01-06,67,147
5,2022-10-26,103,73
6,2021-10-09,378,57
7,2022-06-17,133,144
8,2021-11-11,167,58
9,2023-11-28,283,171
10,2020-01-18,50,40
11,2020-02-03,448,168
12,2021-02-20,487,87
13,2022-03-30,226,136
14,2022-05-13,83,55
15,2023-07-04,351,147
16,2023-07-15,238,76
17,2021-02-26,254,191
18,2021-03-12,244,166
19,2021-07-06,229,22
20,2021-07-06,89,126
21,2020-02-01,248,125
22,2021-06-29,147,124
23,2023-01-16,359,2
24,2020-01-12,211,148
25,2021-11-16,266,177
26,2022-04-16,372,5
27,2023-07-26,245,164
28,2021-12-29,83,44
29,2020-03-26,4,25
30,2023-05-20,161,173
31,2023-03-11,467,2
32,2020-01-06,327,74
33,2023-02-25,250,166
34,2022-02-20,228,196
35,2020-06-23,279,0
36,2021-12-19,125,119
37,2023-05-16,355,82
38,2022-06-10,39,166
39,2022-12-10,47,133
40,2020-05-02,27,121
41,2021-11-11,37,16
42,2020-07-12,410,133
43,2024-01-21,481,45
44,2023-06-05,186,0
45,2023-09-21,70,50
46,2021-09-04,431,93
47,2023-03-01,19,90
48,2022-05-27,163,107
49,2020-06-14,18,133
50,2022-03-19,51,184
