userID,username,account_creation_date
1,epicwolf202,2022-09-09
2,silentninja637,2023-01-27
3,stormcat597,2023-02-25
4,brightking765,2023-05-11
5,fastgirl798,2021-06-11
6,stormfox762,2020-01-18
7,coolwolf752,2024-02-04
8,coolking201,2021-01-19
9,mysticcat651,2021-12-14
10,darkdog878,2020-07-07
11,cooldragon866,2020-10-30
12,stormqueen831,2022-01-10
13,brightninja683,2021-06-20
14,epiccat105,2023-01-24
15,mysticwolf198,2021-01-04
16,fastqueen400,2022-07-26
17,stormninja678,2022-01-09
18,smartdragon25,2021-07-01
19,epicking81,2023-11-08
20,silentguy245,2022-10-11
